,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
24.3,,98,1.9,0,1.5,2.43,2.420743687,,,98,-110.4,43.6,95.8,152.6,,,98,0,95.8,37.831,95.8
5.4,,99,0.2,0.4,0.3,0.54,0.360555128,,,99,-78,32.6,4.7,84.7,,,99,0.4,4.7,77.831,4.7
9.1,,100,0.6,0.1,0.7,0.91,0.921954446,,,100,27.6,18.5,-163.4,166.7,,,100,0.1,-163.4,47.831,163.4
17.3,,101,1.1,-1.3,0.3,1.73,1.140175425,,,101,5.3,107,79.8,133.6,,,101,-1.3,79.8,92.169,79.8
6.5,,102,0.3,-0.5,0.2,0.65,0.360555128,,,102,-13.7,-31.8,134.4,138.8,,,102,-0.5,134.4,12.169,134.4
8.8,,103,0.4,-0.5,0.6,0.88,0.721110255,,,103,88.1,-12.6,-60.1,107.3,,,103,-0.5,-60.1,12.169,60.1
20.4,,104,1.4,0,1.4,2.04,1.979898987,,,104,-4.5,8.7,69.3,69.9,,,104,0,69.3,37.831,69.3
5.4,,105,0.3,0.1,0.4,0.54,0.5,,,105,-70.8,21.5,9.6,74.6,,,105,0.1,9.6,47.831,9.6
14.3,,106,0.9,-0.3,1,1.43,1.345362405,,,106,46.7,48.3,-144.3,159.2,,,106,-0.3,-144.3,7.831,144.3
19.7,,107,1.7,-0.8,0.7,1.97,1.838477631,,,107,20.6,46.9,-51.1,72.4,,,107,-0.8,-51.1,42.169,51.1
5.6,,108,0.4,-0.4,0.1,0.56,0.412310563,,,108,-23.3,-73.3,144.1,163.4,,,108,-0.4,144.1,2.169,144.1
8.4,,109,0.4,-0.5,0.6,0.84,0.721110255,,,109,44.1,-63.5,-2,77.3,,,109,-0.5,-2,12.169,2
25.9,,110,2,-0.1,1.7,2.59,2.62488095,,,110,-50.8,-95.1,73.2,130.3,,,110,-0.1,73.2,27.831,73.2
8.9,,111,0.5,0.5,0.5,0.89,0.707106781,,,111,-110.9,21,19.8,114.6,,,111,0.5,19.8,87.831,19.8
6.2,,112,0.4,0.2,0.4,0.62,0.565685425,,,112,-9.4,-5.6,-182.1,182.5,,,112,0.2,-182.1,57.831,182.1
24.4,,113,2,-1.2,0.8,2.44,2.154065923,,,113,2.5,145.3,-95,173.6,,,113,-1.2,-95,82.169,95
9,,114,0.2,-0.8,0.2,0.9,0.282842712,,,114,-43.2,-71.1,177.9,196.4,,,114,-0.8,177.9,42.169,177.9
7.8,,115,0.5,-0.4,0.4,0.78,0.640312424,,,115,41.4,5.6,36.3,55.4,,,115,-0.4,36.3,2.169,36.3
24.9,,116,2,0,1.5,2.49,2.5,,,116,-26.7,-5.1,73.5,78.3,,,116,0,73.5,37.831,73.5
6,,117,0.4,0.3,0.3,0.6,0.5,,,117,-69.1,9.5,-59.6,91.7,,,117,0.3,-59.6,67.831,59.6
2.9,,118,0.2,0.1,0.2,0.29,0.282842712,,,118,-0.2,-67,-176.1,188.4,,,118,0.1,-176.1,47.831,176.1
15.5,,119,1,-1.1,0.5,1.55,1.118033989,,,119,-21.2,-88,193.4,213.5,,,119,-1.1,193.4,72.169,193.4
