,,,,,,z|x,,,,,,,,Ay,Gz,Ay_
222,0.2,-0.9,0.5,10.6,1.06,0.538516481,,-3.6,9.1,4.4,10.8,,222,0.9,4.4,-12
223,0.1,-0.9,0.5,10.4,1.04,0.509901951,,6.7,9,-17.7,21,,223,0.9,-17.7,-12
224,0.2,-0.9,0.5,10.3,1.03,0.538516481,,8.2,35.5,-36,51.2,,224,0.9,-36,-12
225,0.2,-0.9,0.5,10.7,1.07,0.538516481,,10.5,75.1,-51.2,91.5,,225,0.9,-51.2,-12
226,0.2,-1.1,0.4,12,1.2,0.447213595,,21.6,93.1,-71.7,119.4,,226,1.1,-71.7,48
227,0.2,-1,0.4,10.8,1.08,0.447213595,,33.8,22.5,-78.4,88.3,,227,1,-78.4,18
228,0.2,-0.9,0.4,10.1,1.01,0.447213595,,25.6,-5.6,-54.2,60.2,,228,0.9,-54.2,-12
229,0.2,-0.9,0.4,9.8,0.98,0.447213595,,15.5,-17.2,-33.4,40.7,,229,0.9,-33.4,-12
230,0.2,-0.8,0.4,9.2,0.92,0.447213595,,-6.8,-2.9,3.3,8.1,,230,0.8,3.3,-42
231,0.2,-0.9,0.3,9.5,0.95,0.360555128,,-29.2,-1.1,40.9,50.2,,231,0.9,40.9,-12
232,0.2,-0.9,0.3,10.2,1.02,0.360555128,,-39.3,-16.5,65.2,77.9,,232,0.9,65.2,-12
233,0.1,-1.1,0.4,11.4,1.14,0.412310563,,-42.3,-61.6,84.3,112.7,,233,1.1,84.3,48
234,0.3,-1,0.4,11.1,1.11,0.5,,-22.9,-69.1,52.7,89.9,,234,1,52.7,18
235,0.3,-1.1,0.5,11.9,1.19,0.583095189,,0,-51.1,16.8,53.7,,235,1.1,16.8,48
