,,,,,,,,,,,,,AY,gz
144,-0.3,0.8,0.4,9.6,,144,13.6,-98.1,-36,105.4,,144,8,-36
145,-0.2,0.8,0.3,9.2,,145,26.7,-131.9,-56.1,145.8,,145,8,-56.1
146,-0.2,0.9,0.2,9.2,,146,37.3,-133.6,-68.1,154.5,,146,9,-68.1
147,-0.2,0.8,0.2,8.6,,147,42,-110.1,-76.9,140.8,,147,8,-76.9
148,-0.2,0.9,0.2,9.6,,148,26.3,-109.5,-77.8,136.9,,148,9,-77.8
149,-0.2,1,0.3,10.5,,149,27.4,-115.9,-47.1,128.1,,149,10,-47.1
150,-0.2,0.9,0.2,9.1,,150,35.4,-37.9,-18.7,55.1,,150,9,-18.7
151,-0.3,0.8,0.2,8.8,,151,46.6,-56.2,3.4,73.1,,151,8,3.4
152,-0.3,1,0.2,11,,152,51.3,-45.5,28.2,74.1,,152,10,28.2
153,-0.2,1,0.2,10.4,,153,18.3,13.1,25,33.6,,153,10,25
154,-0.1,0.9,0.2,9.1,,154,-0.5,4.9,4,6.3,,154,9,4
155,-0.1,0.9,0.1,9.3,,155,-11.5,-42.5,19,47.9,,155,9,19
156,-0.1,1,0.2,9.9,,156,-20,-51.8,17.3,58.2,,156,10,17.3
157,-0.1,1,0.2,9.8,,157,-10.3,-38.1,3.7,39.6,,157,10,3.7
158,-0.1,1,0.2,10.6,,158,-8,-70.4,-1.9,70.9,,158,10,-1.9
159,-0.1,0.8,0.2,8.8,,159,-3.5,9.3,-14.5,17.6,,159,8,-14.5
160,0,0.9,0.2,9.1,,160,5.6,-27.1,-10,29.4,,160,9,-10
161,0,0.9,0.2,9.2,,161,7.3,-15.7,-18,25,,161,9,-18
162,-0.1,0.8,0.2,8.6,,162,14.6,-23.7,-28.2,39.7,,162,8,-28.2
163,-0.1,1,0.2,10,,163,16.7,-57.9,-23.7,64.8,,163,10,-23.7
164,-0.2,1.1,0.2,11,,164,1,-47.3,-15.8,49.9,,164,11,-15.8
165,-0.2,1,0.2,10,,165,-6.6,7,-22,24,,165,10,-22
166,-0.2,0.9,0.1,9.7,,166,1.1,3.4,-14.8,15.2,,166,9,-14.8
167,-0.2,0.9,0.2,9.6,,167,5.7,-11.3,6.8,14.3,,167,9,6.8
168,-0.2,0.9,0.2,9.9,,168,-0.6,-2.9,22,22.2,,168,9,22
169,-0.2,1,0.2,10,,169,-1.3,7.7,29.9,30.9,,169,10,29.9
170,-0.2,0.9,0.2,9.8,,170,9,6.4,36.9,38.5,,170,9,36.9
171,-0.2,0.9,0.2,9.4,,171,7.2,-7.8,37.1,38.6,,171,9,37.1
172,-0.2,1.1,0.2,11.3,,172,-7.2,-0.9,26.6,27.6,,172,11,26.6
173,-0.3,1,0.3,10.3,,173,-14.1,-10.8,-20.3,26.9,,173,10,-20.3
174,-0.1,0.9,0.3,9.8,,174,-43.7,9.5,-60,74.9,,174,9,-60
175,-0.1,0.9,0.3,9.9,,175,-40.6,-9.2,-57,70.6,,175,9,-57
176,-0.1,1.1,0.4,11.5,,176,-54.2,4.5,-52,75.3,,176,11,-52
177,-0.1,0.9,0.4,10.1,,177,-39.3,20.3,-50.4,67,,177,9,-50.4
178,-0.1,0.8,0.3,8.7,,178,-24.6,17.4,-31.6,43.7,,178,8,-31.6
179,-0.1,0.7,0.3,7.9,,179,-2,17.9,11.9,21.5,,179,7,11.9
180,-0.2,0.8,0.3,8.5,,180,11.5,26.8,39.7,49.3,,180,8,39.7
181,-0.2,0.9,0.2,9.2,,181,22.9,32.3,79.3,88.6,,181,9,79.3
182,-0.2,1,0.2,10.7,,182,24.1,51.3,82.6,100.2,,182,10,82.6
183,-0.2,1,0.2,10.6,,183,18.3,53.9,63.7,85.4,,183,10,63.7
184,-0.2,1,0.2,10.4,,184,10.8,54,47.4,72.7,,184,10,47.4
185,-0.2,1,0.3,10.6,,185,10.6,5.4,47.9,49.4,,185,10,47.9
186,-0.2,0.9,0.2,9.1,,186,0.2,9,24.2,25.9,,186,9,24.2
187,-0.2,0.9,0.2,9.5,,187,-10,-10.2,-2.4,14.5,,187,9,-2.4
188,-0.2,1,0.2,10.5,,188,-19,-18.5,-39.5,47.6,,188,10,-39.5
189,-0.2,0.9,0.3,9.6,,189,-8.9,-39.7,-64.6,76.3,,189,9,-64.6
190,-0.1,1,0.3,10.7,,190,-21.2,-76.4,-72,107.1,,190,10,-72
191,-0.1,1,0.3,10.7,,191,-42.6,-40.9,-80.5,99.8,,191,10,-80.5
192,0,0.9,0.3,9.5,,192,-31.1,-8.8,-62.9,70.7,,192,9,-62.9
193,-0.1,0.9,0.3,9,,193,-22.9,3,-30.9,38.6,,193,9,-30.9
194,-0.2,0.8,0.3,8.7,,194,1.3,17.6,1.7,17.7,,194,8,1.7
195,-0.2,0.8,0.3,9,,195,21,31.3,38,53.6,,195,8,38
196,-0.2,0.9,0.3,10,,196,27.5,18.9,84.9,91.2,,196,9,84.9
197,-0.2,1.1,0.3,11.6,,197,17.8,54.3,93.5,109.5,,197,11,93.5
198,-0.2,1,0.3,10.7,,198,17.7,39.6,72.2,84.2,,198,10,72.2
199,-0.2,1,0.3,10.1,,199,9.5,30.6,43.9,54.4,,199,10,43.9
200,-0.2,0.9,0.3,9.9,,200,6.4,25.1,29.3,39.2,,200,9,29.3
201,-0.2,0.9,0.3,9.4,,201,2.3,-22,-5.5,22.8,,201,9,-5.5
202,-0.1,0.9,0.2,9.1,,202,-7.5,-9.1,-18.7,22.1,,202,9,-18.7
203,-0.2,1,0.3,10.2,,203,-12.4,-40.3,-35.6,55.2,,203,10,-35.6
204,-0.2,1,0.3,10.5,,204,-15.9,-40.7,-57.5,72.2,,204,10,-57.5
205,-0.2,1.1,0.3,11,,205,-21,-86.5,-74.6,116.2,,205,11,-74.6
206,-0.1,1,0.3,10.7,,206,-37.8,-43.7,-62,84.8,,206,10,-62
207,-0.1,0.9,0.3,9.9,,207,-41.3,-5.1,-51.1,65.9,,207,9,-51.1
208,-0.1,0.9,0.2,8.9,,208,-31.4,15.2,-32.2,47.4,,208,9,-32.2
209,-0.1,0.8,0.3,8.3,,209,-3.7,20.3,12.3,24,,209,8,12.3
210,-0.2,0.9,0.3,9.2,,210,15.7,37.5,51.2,65.3,,210,9,51.2
211,-0.2,0.9,0.3,9.7,,211,31.2,39.9,75.5,90.9,,211,9,75.5
212,-0.2,1.1,0.3,11.1,,212,35.2,30.4,87.6,99.2,,212,11,87.6
213,-0.1,0.9,0.2,9.5,,213,12.4,35.7,69.3,78.9,,213,9,69.3
214,-0.2,1,0.3,10.4,,214,0.6,66.7,47.8,82.1,,214,10,47.8
215,-0.2,0.9,0.3,9.3,,215,2.4,15.8,22.5,27.6,,215,9,22.5
216,-0.2,0.9,0.3,9.2,,216,2.6,-5.8,8.6,10.7,,216,9,8.6
217,-0.2,0.8,0.2,8.9,,217,10.7,-21,-12.2,26.5,,217,8,-12.2
218,-0.2,1,0.3,10.6,,218,4.9,-71.5,-39.3,81.7,,218,10,-39.3
